MONTH_YR,PRODUCT_TYPE,TOTAL_PREMIUM
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,432148.95
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,501639.7
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,250735.57
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,132880.32
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,252652.54
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Cyber Liability,527691.87
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Directors & Officers,815946.51
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Errors & Omissions,322811.56
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Event Cancellation,149999.43
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),Marine Cargo,224683.43
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,462743.62
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,629861
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,261989.48
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,138513.9
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,270592.69
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,452290.2
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,623049.45
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,343000.93
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,144946.49
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,182135.87
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,527450.44
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,631207.71
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,387278.59
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,173579.44
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,207531.61
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Cyber Liability,435947.74
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Directors & Officers,720835.25
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Errors & Omissions,307335.68
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Event Cancellation,129848.61
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),Marine Cargo,290356.89
