MONTH,POLICY_COUNT
Wed Apr 30 2025 19:00:00 GMT-0500 (Central Daylight Time),230
Mon Mar 31 2025 19:00:00 GMT-0500 (Central Daylight Time),298
Fri Feb 28 2025 18:00:00 GMT-0600 (Central Standard Time),273
Fri Jan 31 2025 18:00:00 GMT-0600 (Central Standard Time),265
Tue Dec 31 2024 18:00:00 GMT-0600 (Central Standard Time),299
Sat Nov 30 2024 18:00:00 GMT-0600 (Central Standard Time),287
Thu Oct 31 2024 19:00:00 GMT-0500 (Central Daylight Time),291
Mon Sep 30 2024 19:00:00 GMT-0500 (Central Daylight Time),292
Sat Aug 31 2024 19:00:00 GMT-0500 (Central Daylight Time),295
Wed Jul 31 2024 19:00:00 GMT-0500 (Central Daylight Time),304
Sun Jun 30 2024 19:00:00 GMT-0500 (Central Daylight Time),267
Fri May 31 2024 19:00:00 GMT-0500 (Central Daylight Time),268
Tue Apr 30 2024 19:00:00 GMT-0500 (Central Daylight Time),296
Sun Mar 31 2024 19:00:00 GMT-0500 (Central Daylight Time),294
Thu Feb 29 2024 18:00:00 GMT-0600 (Central Standard Time),310
Wed Jan 31 2024 18:00:00 GMT-0600 (Central Standard Time),296
Sun Dec 31 2023 18:00:00 GMT-0600 (Central Standard Time),328
Thu Nov 30 2023 18:00:00 GMT-0600 (Central Standard Time),287
Tue Oct 31 2023 19:00:00 GMT-0500 (Central Daylight Time),289
Sat Sep 30 2023 19:00:00 GMT-0500 (Central Daylight Time),293
Thu Aug 31 2023 19:00:00 GMT-0500 (Central Daylight Time),286
Mon Jul 31 2023 19:00:00 GMT-0500 (Central Daylight Time),310
Fri Jun 30 2023 19:00:00 GMT-0500 (Central Daylight Time),297
Wed May 31 2023 19:00:00 GMT-0500 (Central Daylight Time),283
Sun Apr 30 2023 19:00:00 GMT-0500 (Central Daylight Time),286
Fri Mar 31 2023 19:00:00 GMT-0500 (Central Daylight Time),310
Tue Feb 28 2023 18:00:00 GMT-0600 (Central Standard Time),295
Tue Jan 31 2023 18:00:00 GMT-0600 (Central Standard Time),305
Sat Dec 31 2022 18:00:00 GMT-0600 (Central Standard Time),353
Wed Nov 30 2022 18:00:00 GMT-0600 (Central Standard Time),283
Mon Oct 31 2022 19:00:00 GMT-0500 (Central Daylight Time),286
Fri Sep 30 2022 19:00:00 GMT-0500 (Central Daylight Time),302
Wed Aug 31 2022 19:00:00 GMT-0500 (Central Daylight Time),296
Sun Jul 31 2022 19:00:00 GMT-0500 (Central Daylight Time),294
Thu Jun 30 2022 19:00:00 GMT-0500 (Central Daylight Time),289
Tue May 31 2022 19:00:00 GMT-0500 (Central Daylight Time),289
Sat Apr 30 2022 19:00:00 GMT-0500 (Central Daylight Time),334
Thu Mar 31 2022 19:00:00 GMT-0500 (Central Daylight Time),297
Mon Feb 28 2022 18:00:00 GMT-0600 (Central Standard Time),287
Mon Jan 31 2022 18:00:00 GMT-0600 (Central Standard Time),256
Fri Dec 31 2021 18:00:00 GMT-0600 (Central Standard Time),300
